batch_idx,t,lambda,condition,n_lig_atoms,eps_mse_mean,eps_mse_median
0,0.1,0,true,31,12.93894100189209,13.618057250976562
0,0.1,1,true,31,12.938942909240723,13.618047714233398
0,0.1,2,true,31,12.938946723937988,13.618038177490234
0,0.1,0,shuffled,31,12.93894100189209,13.618057250976562
0,0.1,1,shuffled,31,12.938944816589355,13.618048667907715
0,0.1,2,shuffled,31,12.93895149230957,13.618038177490234
0,0.5,0,true,31,14.82401180267334,14.156597137451172
0,0.5,1,true,31,14.824013710021973,14.156614303588867
0,0.5,2,true,31,14.824014663696289,14.156635284423828
0,0.5,0,shuffled,31,14.82401180267334,14.156597137451172
0,0.5,1,shuffled,31,14.824016571044922,14.156595230102539
0,0.5,2,shuffled,31,14.824024200439453,14.156598091125488
0,0.9,0,true,31,13.389097213745117,12.69416332244873
0,0.9,1,true,31,13.3890962600708,12.694154739379883
0,0.9,2,true,31,13.389094352722168,12.694143295288086
0,0.9,0,shuffled,31,13.389097213745117,12.69416332244873
0,0.9,1,shuffled,31,13.38909912109375,12.69416332244873
0,0.9,2,shuffled,31,13.3891019821167,12.694162368774414
1,0.1,0,true,31,12.816847801208496,11.46279239654541
1,0.1,1,true,31,12.81685733795166,11.46279239654541
1,0.1,2,true,31,12.816864967346191,11.46279239654541
1,0.1,0,shuffled,31,12.816847801208496,11.46279239654541
1,0.1,1,shuffled,31,12.816851615905762,11.46279239654541
1,0.1,2,shuffled,31,12.816853523254395,11.462791442871094
1,0.5,0,true,31,13.520870208740234,12.973241806030273
1,0.5,1,true,31,13.520870208740234,12.973251342773438
1,0.5,2,true,31,13.520869255065918,12.973261833190918
1,0.5,0,shuffled,31,13.520870208740234,12.973241806030273
1,0.5,1,shuffled,31,13.520864486694336,12.973243713378906
1,0.5,2,shuffled,31,13.52086067199707,12.973243713378906
1,0.9,0,true,31,14.18498706817627,11.406826972961426
1,0.9,1,true,31,14.1849946975708,11.406829833984375
1,0.9,2,true,31,14.185001373291016,11.406834602355957
1,0.9,0,shuffled,31,14.18498706817627,11.406826972961426
1,0.9,1,shuffled,31,14.184988021850586,11.406821250915527
1,0.9,2,shuffled,31,14.184988975524902,11.406813621520996
2,0.1,0,true,27,12.929594039916992,12.097257614135742
2,0.1,1,true,27,12.929590225219727,12.09722900390625
2,0.1,2,true,27,12.929590225219727,12.09720230102539
2,0.1,0,shuffled,27,12.929594039916992,12.097257614135742
2,0.1,1,shuffled,27,12.929597854614258,12.097259521484375
2,0.1,2,shuffled,27,12.929603576660156,12.097260475158691
2,0.5,0,true,27,13.57998275756836,13.325973510742188
2,0.5,1,true,27,13.57998275756836,13.325984954833984
2,0.5,2,true,27,13.579984664916992,13.325996398925781
2,0.5,0,shuffled,27,13.57998275756836,13.325973510742188
2,0.5,1,shuffled,27,13.579980850219727,13.325968742370605
2,0.5,2,shuffled,27,13.579978942871094,13.325965881347656
2,0.9,0,true,27,13.521313667297363,12.165313720703125
2,0.9,1,true,27,13.521309852600098,12.165294647216797
2,0.9,2,true,27,13.521307945251465,12.165275573730469
2,0.9,0,shuffled,27,13.521313667297363,12.165313720703125
2,0.9,1,shuffled,27,13.52131175994873,12.165326118469238
2,0.9,2,shuffled,27,13.521312713623047,12.165338516235352
3,0.1,0,true,22,12.826818466186523,12.022012710571289
3,0.1,1,true,22,12.82681941986084,12.022018432617188
3,0.1,2,true,22,12.826821327209473,12.022024154663086
3,0.1,0,shuffled,22,12.826818466186523,12.022012710571289
3,0.1,1,shuffled,22,12.826818466186523,12.02200698852539
3,0.1,2,shuffled,22,12.826818466186523,12.022001266479492
3,0.5,0,true,22,12.570633888244629,10.939363479614258
3,0.5,1,true,22,12.570635795593262,10.939373970031738
3,0.5,2,true,22,12.570635795593262,10.939386367797852
3,0.5,0,shuffled,22,12.570633888244629,10.939363479614258
3,0.5,1,shuffled,22,12.570633888244629,10.939366340637207
3,0.5,2,shuffled,22,12.570633888244629,10.939371109008789
3,0.9,0,true,22,11.776607513427734,10.618480682373047
3,0.9,1,true,22,11.77660846710205,10.618485450744629
3,0.9,2,true,22,11.77660846710205,10.618488311767578
3,0.9,0,shuffled,22,11.776607513427734,10.618480682373047
3,0.9,1,shuffled,22,11.776602745056152,10.618486404418945
3,0.9,2,shuffled,22,11.776598930358887,10.618494033813477
4,0.1,0,true,19,14.651002883911133,11.647712707519531
4,0.1,1,true,19,14.651007652282715,11.64771556854248
4,0.1,2,true,19,14.651012420654297,11.647717475891113
4,0.1,0,shuffled,19,14.651002883911133,11.647712707519531
4,0.1,1,shuffled,19,14.6510009765625,11.647705078125
4,0.1,2,shuffled,19,14.6510009765625,11.64771842956543
4,0.5,0,true,19,12.554323196411133,12.326160430908203
4,0.5,1,true,19,12.554330825805664,12.326164245605469
4,0.5,2,true,19,12.554337501525879,12.326168060302734
4,0.5,0,shuffled,19,12.554323196411133,12.326160430908203
4,0.5,1,shuffled,19,12.5543212890625,12.326156616210938
4,0.5,2,shuffled,19,12.5543212890625,12.326152801513672
4,0.9,0,true,19,13.092926025390625,12.461983680725098
4,0.9,1,true,19,13.092926025390625,12.461965560913086
4,0.9,2,true,19,13.092926025390625,12.46194839477539
4,0.9,0,shuffled,19,13.092926025390625,12.461983680725098
4,0.9,1,shuffled,19,13.092920303344727,12.462008476257324
4,0.9,2,shuffled,19,13.092913627624512,12.4620361328125
5,0.1,0,true,33,12.861520767211914,11.790718078613281
5,0.1,1,true,33,12.861519813537598,11.790725708007812
5,0.1,2,true,33,12.861518859863281,11.79073429107666
5,0.1,0,shuffled,33,12.861520767211914,11.790718078613281
5,0.1,1,shuffled,33,12.861520767211914,11.790711402893066
5,0.1,2,shuffled,33,12.86152172088623,11.790703773498535
5,0.5,0,true,33,11.138492584228516,9.341567039489746
5,0.5,1,true,33,11.138496398925781,9.341567039489746
5,0.5,2,true,33,11.138500213623047,9.341567039489746
5,0.5,0,shuffled,33,11.138492584228516,9.341567039489746
5,0.5,1,shuffled,33,11.1384859085083,9.341567039489746
5,0.5,2,shuffled,33,11.138481140136719,9.341567039489746
5,0.9,0,true,33,11.95798110961914,11.129773139953613
5,0.9,1,true,33,11.95798397064209,11.129773139953613
5,0.9,2,true,33,11.957986831665039,11.129773139953613
5,0.9,0,shuffled,33,11.95798110961914,11.129773139953613
5,0.9,1,shuffled,33,11.957980155944824,11.129773139953613
5,0.9,2,shuffled,33,11.957977294921875,11.129773139953613
6,0.1,0,true,28,13.569059371948242,12.51390552520752
6,0.1,1,true,28,13.569066047668457,12.513912200927734
6,0.1,2,true,28,13.569070816040039,12.513916969299316
6,0.1,0,shuffled,28,13.569059371948242,12.51390552520752
6,0.1,1,shuffled,28,13.569061279296875,12.513916015625
6,0.1,2,shuffled,28,13.569062232971191,12.513925552368164
6,0.5,0,true,28,12.974068641662598,13.169357299804688
6,0.5,1,true,28,12.974076271057129,13.16934871673584
6,0.5,2,true,28,12.974085807800293,13.169342994689941
6,0.5,0,shuffled,28,12.974068641662598,13.169357299804688
6,0.5,1,shuffled,28,12.974068641662598,13.169360160827637
6,0.5,2,shuffled,28,12.974068641662598,13.16936206817627
6,0.9,0,true,28,14.033651351928711,13.27482795715332
6,0.9,1,true,28,14.033662796020508,13.274826049804688
6,0.9,2,true,28,14.033675193786621,13.274823188781738
6,0.9,0,shuffled,28,14.033651351928711,13.27482795715332
6,0.9,1,shuffled,28,14.033651351928711,13.274832725524902
6,0.9,2,shuffled,28,14.033650398254395,13.274835586547852
7,0.1,0,true,37,14.488018989562988,13.036866188049316
7,0.1,1,true,37,14.488018989562988,13.03687572479248
7,0.1,2,true,37,14.488018989562988,13.036883354187012
7,0.1,0,shuffled,37,14.488018989562988,13.036866188049316
7,0.1,1,shuffled,37,14.48802375793457,13.03688907623291
7,0.1,2,shuffled,37,14.488027572631836,13.036911964416504
7,0.5,0,true,37,12.21399974822998,11.707691192626953
7,0.5,1,true,37,12.214000701904297,11.707695007324219
7,0.5,2,true,37,12.21400260925293,11.707696914672852
7,0.5,0,shuffled,37,12.21399974822998,11.707691192626953
7,0.5,1,shuffled,37,12.214004516601562,11.70770263671875
7,0.5,2,shuffled,37,12.214007377624512,11.707715034484863
7,0.9,0,true,37,12.753816604614258,11.908252716064453
7,0.9,1,true,37,12.753811836242676,11.908285140991211
7,0.9,2,true,37,12.753805160522461,11.908316612243652
7,0.9,0,shuffled,37,12.753816604614258,11.908252716064453
7,0.9,1,shuffled,37,12.753817558288574,11.908287048339844
7,0.9,2,shuffled,37,12.753820419311523,11.908323287963867
8,0.1,0,true,10,11.328001976013184,10.110193252563477
8,0.1,1,true,10,11.3280029296875,10.11019515991211
8,0.1,2,true,10,11.32800579071045,10.110198974609375
8,0.1,0,shuffled,10,11.328001976013184,10.110193252563477
8,0.1,1,shuffled,10,11.327999114990234,10.110158920288086
8,0.1,2,shuffled,10,11.327997207641602,10.110127449035645
8,0.5,0,true,10,14.116693496704102,11.724872589111328
8,0.5,1,true,10,14.116694450378418,11.724857330322266
8,0.5,2,true,10,14.11669635772705,11.724843978881836
8,0.5,0,shuffled,10,14.116693496704102,11.724872589111328
8,0.5,1,shuffled,10,14.11669635772705,11.724906921386719
8,0.5,2,shuffled,10,14.116697311401367,11.724943161010742
8,0.9,0,true,10,12.330517768859863,9.992271423339844
8,0.9,1,true,10,12.330507278442383,9.992265701293945
8,0.9,2,true,10,12.330497741699219,9.992259979248047
8,0.9,0,shuffled,10,12.330517768859863,9.992271423339844
8,0.9,1,shuffled,10,12.330522537231445,9.992271423339844
8,0.9,2,shuffled,10,12.330526351928711,9.992271423339844
9,0.1,0,true,27,12.562214851379395,11.245211601257324
9,0.1,1,true,27,12.562212944030762,11.245211601257324
9,0.1,2,true,27,12.562211036682129,11.245211601257324
9,0.1,0,shuffled,27,12.562214851379395,11.245211601257324
9,0.1,1,shuffled,27,12.56221866607666,11.245210647583008
9,0.1,2,shuffled,27,12.562223434448242,11.245208740234375
9,0.5,0,true,27,12.04171085357666,11.960084915161133
9,0.5,1,true,27,12.041709899902344,11.960079193115234
9,0.5,2,true,27,12.041707038879395,11.960075378417969
9,0.5,0,shuffled,27,12.04171085357666,11.960084915161133
9,0.5,1,shuffled,27,12.04171371459961,11.96008586883545
9,0.5,2,shuffled,27,12.041715621948242,11.960087776184082
9,0.9,0,true,27,13.765618324279785,12.145015716552734
9,0.9,1,true,27,13.765613555908203,12.145002365112305
9,0.9,2,true,27,13.765610694885254,12.144989013671875
9,0.9,0,shuffled,27,13.765618324279785,12.145015716552734
9,0.9,1,shuffled,27,13.765616416931152,12.145011901855469
9,0.9,2,shuffled,27,13.765617370605469,12.14500904083252
