batch_idx,t,lambda,condition,n_lig_atoms,delta_v_mean,delta_v_median,delta_h_mean,delta_h_median
0,0.1,1.0,true,31,1.7203265088028274e-06,1.635601847738144e-06,6.3389588831341825e-06,6.2463441281579435e-06
0,0.1,2.0,true,31,3.3111575703514973e-06,3.3717478800099343e-06,1.2676103324338328e-05,1.2517243703769054e-05
0,0.1,4.0,true,31,6.706409294565674e-06,6.676784323644824e-06,2.533374026825186e-05,2.5011882826220244e-05
0,0.1,1.0,random,31,6.601666427741293e-06,7.304047812795034e-06,3.462027962086722e-05,3.459920117165893e-05
0,0.1,2.0,random,31,1.4075940271141008e-05,1.5816365703358315e-05,7.103863026713952e-05,7.10350795998238e-05
0,0.1,4.0,random,31,3.17823032673914e-05,3.629100683610886e-05,0.00014930024917703122,0.0001495130854891613
0,0.5,1.0,true,31,1.769344294189068e-06,1.8544612885307288e-06,6.3728639361215755e-06,6.256059350562282e-06
0,0.5,2.0,true,31,3.4360764402663335e-06,3.3953726870095124e-06,1.2739623343804851e-05,1.2576554581755772e-05
0,0.5,4.0,true,31,6.911364380357554e-06,6.782369382563047e-06,2.547278745623771e-05,2.5160161385429092e-05
0,0.5,1.0,random,31,6.144432063592831e-06,6.5693407123035286e-06,3.475139237707481e-05,3.474568802630529e-05
0,0.5,2.0,random,31,1.3090691936668009e-05,1.4560864656232297e-05,7.134427141863853e-05,7.137018837966025e-05
0,0.5,4.0,random,31,2.9792448913212866e-05,3.381196438567713e-05,0.00015007723413873464,0.00015031853399705142
0,0.9,1.0,true,31,1.8090565845341189e-06,1.817941665649414e-06,6.4099654082383495e-06,6.3345369198941626e-06
0,0.9,2.0,true,31,3.5896650842914823e-06,3.7489378428290365e-06,1.2812507520720828e-05,1.2642865840462036e-05
0,0.9,4.0,true,31,7.165854185586795e-06,7.747687050141394e-06,2.561843029980082e-05,2.534189297875855e-05
0,0.9,1.0,random,31,5.551164576900192e-06,6.149396995169809e-06,3.492154064588249e-05,3.493122858344577e-05
